Время (сек),[Вертолет] Состояние,[Угловая скорость в связанной СК] По оси X (град-с),[Угловая скорость в связанной СК] По оси Y (град-с),[Угловая скорость в связанной СК] По оси Z (град-с),[Полное ускорение в связанной СК] По оси X (G),[Полное ускорение в связанной СК] По оси Y (G),[Полное ускорение в связанной СК] По оси Z (G),[Полное ускорение в нормальной СК] Северное (G),[Полное ускорение в нормальной СК] Восточное (G),[Полное ускорение в нормальной СК] Вертикальное (G),[Полное ускорение в нормальной СК] Перегрузка (G),[Напряженность МПЗ в связанной СК] По оси X (Гаусс),[Напряженность МПЗ в связанной СК] По оси Y (Гаусс),[Напряженность МПЗ в связанной СК] По оси Z (Гаусс),[Координаты в стартовой СК] Удаление на Север (м),[Координаты в стартовой СК] Удаление на Восток (м),[Координаты в стартовой СК] Высота (м),[Координаты в стартовой СК] Удаление по горизонтали (м),[Координаты в стартовой СК] Уход по горизонтали (м),[Координаты в стартовой СК] Уход по вертикали (м),[Координаты в стартовой СК] Ошибка по горизонтали (м),[Координаты в стартовой СК] Ошибка по вертикали (м),[Координаты в стартовой СК] СКО курса (град),[Координаты в географической СК] Широта (микро град),[Координаты в географической СК] Долгота (микро град),[Координаты в географической СК] Высота (м),[Координаты в географической СК] СКО широты (м),[Координаты в географической СК] СКО долготы (м),[Координаты в географической СК] СКО высоты (м),[Скорость относительно Земли] Северная (м-с),[Скорость относительно Земли] Восточная (м-с),[Скорость относительно Земли] Вертикальная (м-с),[Скорость относительно Земли] Горизонтальная (м-с),[Скорость относительно Земли] Полная (м-с),[Скорость относительно Земли] Траекторный угол (град),[Скорость относительно Земли] Путевой угол (град),[Скорость относительно Земли] Угол сноса (град),[Скорость относительно Земли] СКО северной (м-c),[Скорость относительно Земли] СКО восточной (м-c),[Скорость относительно Земли] СКО вертикальной (м-c),[Скорость относительно воздуха] Северная (м-с),[Скорость относительно воздуха] Восточная (м-с),[Скорость относительно воздуха] Вертикальная (м-с),[Скорость относительно воздуха] Горизонтальная (м-с),[Скорость относительно воздуха] Полная (м-с),[Скорость относительно воздуха] Угол атаки (град),[Скорость относительно воздуха] Угол скольжения (град),[Ориентация] Курс (град),[Ориентация] Тангаж (град),[Ориентация] Крен (град),[Ориентация] СКО курса (град),[Ориентация] СКО тангажа (град),[Ориентация] СКО крена (град),[Время] Дата (ddmmyyyy),[Время] Время (hhmmsssss),[Точка цели] Флаги,[Точка цели] Широта (микроград),[Точка цели] Долгота (микроград),[Точка цели] Высота (м),[Точка цели] Скорость (км-ч),[Точка цели] Путевой угол (град),[Точка цели] Азимут (град),[Точка цели] Возвышение (град),[Точка цели] Дальность (м),[Автопилот] Код ошибки,[Автопилот] Режим работы (0-A 1-AM 2-M),[Автопилот] Заданный путевой угол (град),[Автопилот] Текущий путевой угол (град),[Автопилот] Заданная высота (м),[Автопилот] Текущая высота (м),[Автопилот] Заданная скорость (км-ч),[Автопилот] Текущая скорость (км-ч),[Автопилот] Заданная вертикальная скорость (м-с),[Автопилот] Текущая  вертикальная скорость (м-с),[Автопилот] Заданный крен (град),[Автопилот] Текущий крен (град),[Автопилот] Заданный тангаж (град),[Автопилот] Текущий тангаж (град),[Автопилот] Заданный курс (град),[Автопилот] Текущий курс (град),[Автопилот] Заданный траекторный угол (град),[Автопилот] Текущий траекторный угол (град),[Автопилот] Текущий угол атаки (град),[Автопилот] Текущий угол скольжения (град),[Автопилот] Заданная тяга (%),[Автопилот] Триммер автомата тяги (%),[Автопилот] Триммер руля высоты (град),[Силовая установка] Тяга переднего левого двигателя (%),[Силовая установка] Тяга переднего правого двигателя (%),[Силовая установка] Тяга заднего левого двигателя (%),[Силовая установка] Тяга заднего правого двигателя (%),[Передний левый двигатель] Код ошибки,[Передний правый двигатель] Код ошибки,[Задний левый двигатель] Код ошибки,[Задний правый двигатель] Код ошибки,[Футаба] Канал флагов,[Футаба] Код ошибки,[Канал крена] Относительное положение,[Канал тангажа] Относительное положение,[Канал направления] Относительное положение,[Канал тяги] Относительное положение,[Канал автопилота] Относительное положение,[Канал двигателей] Относительное положение,[Канал парашюта] Относительное положение,[Канал связи] Относительное положение,[Канал полезной нагрузки] Относительное положение,[Канал режима] Относительное положение,[Канал 11] Относительное положение,[Канал 12] Относительное положение,[Канал 13] Относительное положение,[Канал 14] Относительное положение,[Канал 15] Относительное положение,[Канал 16] Относительное положение,[Батарея] Код ошибки,[Батарея] Напряжение (В),[Батарея] Ток (A),[Топливный бак] Код ошибки,[Топливный бак] Остаток (л),[Топливный бак] Уровень (%),[Топливный бак] Расход (л-мин),[Высотомер] Код ошибки,[Высотомер] Расстояние (м)
395.166,6,0.06250335,-0.02790515,0.04643674,0.001405481,0.0004924871,0.0003811121,0.001116909,0.0009779148,0.0003830194,0.999618,0.09131224,-0.04695826,0.4615985,-9.837116,4.945031,-0.6998596,11.01009,6.193945,0.1388371,0.1667899,0.0166626,0.03072559,56050675,37469806,218.7328,0.4281317,0.4281392,0.3397362,-0.008860521,0.01427558,0.006399326,0.01680182,0.01797922,20.85039,121.8269,64.93907,0.2265132,0.2265327,0.2052134,0.13534,-0.114231,0.006399326,0.1771035,0.177219,0.5880577,-62.91988,22.77253,0.8021557,2.574501,2.69813,0.6643561,0.6656106,10122021,80339978,0x00000000,56050764,37469728,0,0,0,0,0,1000,0x00000000,1,333.3601,22.77253,-0.6998596,-0.6998596,20,0.6379886,-2.344346,0.006399326,0,2.574501,0.1829305,0.8021557,22.91077,22.77253,0,2.069383,8.588059,-62.91988,-0.4320205,0,0,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0,0.4573226,-6.707316,-78.14485,0,100,100,100,-100,-100,100,100,100,100,100,100,0x00000000,12.05182,0,0x00000000,19.99207,99,0,0x00000000,0
395.175,6,0.04380092,-0.005767864,0.05101699,0.001321266,-0.0004463345,-0.00195682,0.001332082,0.0001667514,-0.001993179,1.001994,0.09131224,-0.04695826,0.4615985,-9.837204,4.945174,-0.6997986,11.01024,6.193945,0.1388371,0.1667899,0.0166626,0.03072559,56050675,37469806,218.7328,0.4293274,0.429335,0.3408892,-0.00872979,0.01429193,0.006594974,0.0167472,0.01799895,21.49431,121.4174,64.47637,0.2275052,0.2275248,0.2060428,0.1354707,-0.1142147,0.006594974,0.1771929,0.1773155,0.5260229,-62.89082,22.77307,0.8020843,2.574924,2.698298,0.6646326,0.6658867,10122021,80339988,0x00000000,56050764,37469728,0,0,0,0,0,1000,0x00000000,1,333.3596,22.77307,-0.6997986,-0.6997986,20,0.6383359,-2.344346,0.006594974,0,2.574924,0.1829305,0.8020843,22.97784,22.77307,0,2.131518,8.526024,-62.89082,-0.4066069,0,0,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0,0.4573226,-6.707316,-78.14485,0,100,100,100,-100,-100,100,100,100,100,100,100,0x00000000,12.05182,0,0x00000000,19.99207,99,0,0x00000000,0
395.185,6,-0.009252456,0.04385055,-0.001273154,0.001448127,-0.0009670928,-7.677078E-05,0.001709403,-0.0003255643,-0.0001404285,1.000142,0.09131224,-0.04695826,0.4615985,-9.83729,4.945317,-0.6997375,11.01038,6.193945,0.1388371,0.1667899,0.0166626,0.03072559,56050675,37469806,218.7329,0.4305331,0.4305409,0.3420514,-0.008562025,0.01425996,0.006608769,0.01663294,0.01789778,21.66942,120.9816,64.45008,0.2284954,0.2285153,0.2068699,0.1356385,-0.1142466,0.006608769,0.1773417,0.1774648,0.5232463,-62.86389,22.77311,0.8025319,2.57481,2.698467,0.664909,0.6661629,10122021,80339998,0x00000000,56050764,37469728,0,0,0,0,0,1000,0x00000000,1,333.3592,22.77311,-0.6997375,-0.6997375,20,0.6388734,-2.466328,0.006608769,0,2.57481,0.1829305,0.8025319,23.04492,22.77311,0,2.134181,8.523248,-62.86389,-0.3811932,0,0,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0,0.4573226,-6.707316,-82.21093,0,100,100,100,-100,-100,100,100,100,100,100,100,0x00000000,12.05182,0,0x00000000,19.99207,99,0,0x00000000,0
395.195,6,0.01097656,0.02247648,0.02849784,0.0007257285,0.00272274,0.002016544,-0.0003190264,0.002716701,0.002126455,0.9978773,0.09131224,-0.04695826,0.4615985,-9.837376,4.945461,-0.6996765,11.01052,6.193945,0.1388371,0.1667899,0.0166626,0.03072559,56050675,37469806,218.733,0.4317489,0.4317568,0.3432228,-0.008593355,0.0145266,0.006400063,0.01687803,0.01805072,20.76648,120.6069,65.41775,0.2294836,0.2295037,0.2076949,0.1356072,-0.11398,0.006400063,0.1771461,0.1772617,0.5880097,-62.80309,22.77344,0.8027527,2.574903,2.698636,0.6651855,0.6664391,10122021,80340008,0x00000000,56050764,37469728,0,0,0,0,0,1000,0x00000000,1,333.3587,22.77344,-0.6996765,-0.6996765,20,0.6381421,-2.561626,0.006400063,0,2.574903,0.1829305,0.8027527,23.10894,22.77344,0,2.069124,8.588011,-62.80309,-0.3557796,0,0,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0,0.4573226,-6.402439,-85.38755,0,100,100,100,-100,-100,100,100,100,100,100,100,0x00000000,12.05182,0,0x00000000,19.99207,99,0,0x00000000,0
395.205,6,-0.0142142,-0.01950821,0.1090321,0.0007949295,-4.72106E-05,0.0001491308,0.0007532369,0.0002590157,0.0001356602,0.9998646,0.09131224,-0.04695826,0.4615985,-9.837461,4.945606,-0.6996155,11.01066,6.193945,0.1388371,0.1667899,0.0166626,0.03072559,56050675,37469806,218.733,0.4329748,0.4329829,0.3444034,-0.008519441,0.01455201,0.006386759,0.01686244,0.01803143,20.74452,120.3468,65.51781,0.2304715,0.2304918,0.2085178,0.1356811,-0.1139546,0.006386759,0.1771864,0.1773014,0.5923701,-62.78243,22.77456,0.8025179,2.574754,2.698804,0.665462,0.6667149,10122021,80340018,0x00000000,56050764,37469728,0,0,0,0,0,1000,0x00000000,1,333.3582,22.77456,-0.6996155,-0.6996155,20,0.6382851,-2.561626,0.006386759,0,2.574754,0.1829305,0.8025179,23.17297,22.77456,0,2.064358,8.592372,-62.78243,-0.3303659,0,0,0,0.00619831,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0,0.4573226,-6.402439,-85.38755,0,100,100,100,-100,-100,100,100,100,100,100,100,0x00000000,12.05182,0,0x00000000,19.99207,99,0,0x00000000,0
395.216,6,-0.01497757,-0.01378315,0.0811695,0.001304279,-0.0007811151,-0.0006929636,0.001481233,-0.0001893491,-0.0007456541,1.000747,0.1383122,-0.02995826,0.4449318,-9.837546,4.945752,-0.6995544,11.0108,6.193945,0.1388371,0.1667899,0.0166626,0.03072559,56050675,37469806,218.7331,0.4342107,0.434219,0.3455933,-0.008374071,0.01453341,0.006459959,0.01677334,0.01797432,21.06332,119.9503,65.32981,0.2314587,0.2314792,0.2093387,0.1358265,-0.1139732,0.006459959,0.1773097,0.1774273,0.5697641,-62.75833,22.7754,0.8023527,2.574594,2.698972,0.6657383,0.6669909,10122021,80340028,0x00000000,56050764,37469728,0,0,0,0,0,1000,0x00000000,1,333.3577,22.7754,-0.6995544,-0.6995544,20,0.6387382,-2.664549,0.006459959,0,2.574594,0.1829305,0.8023527,23.23394,22.7754,0,2.086546,8.569765,-62.75833,-0.3049523,0,0,0,0.1162311,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0,0.4573226,-6.097561,-88.8183,0,100,100,100,-100,-100,100,100,100,100,100,100,0x00000000,12.05182,0,0x00000000,19.99207,99,0,0x00000000,0
395.226,6,-0.02719124,-0.02828688,0.04605505,-0.0002226224,-0.0034317,-0.0001493096,0.001112061,-0.003241453,-0.000300169,1.000306,0.1383122,-0.02995826,0.4449318,-9.837629,4.945895,-0.6994934,11.01094,6.193945,0.1388371,0.1667899,0.0166626,0.03072559,56050675,37469806,218.7332,0.435457,0.4354654,0.3467924,-0.008264937,0.01421523,0.006489434,0.0164433,0.01767752,21.53694,120.1744,64.8157,0.2324446,0.2324653,0.2101575,0.1359356,-0.1142914,0.006489434,0.1775979,0.1777164,0.5637178,-62.81494,22.77588,0.8020585,2.574307,2.699141,0.6660147,0.6672669,10122021,80340039,0x00000000,56050764,37469728,0,0,0,0,0,1000,0x00000000,1,333.3573,22.77588,-0.6994934,-0.6994934,20,0.639779,-2.782719,0.006489434,0,2.574307,0.1829305,0.8020585,23.28882,22.77588,0,2.092659,8.563719,-62.81494,-0.2795386,0,0,0,0.233168,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0,0.4573226,-5.487805,-92.75731,0,100,100,100,-100,-100,100,100,100,100,100,100,0x00000000,12.05182,0,0x00000000,19.99207,99,0,0x00000000,0
395.236,6,0.006778825,-0.004913705,0.04950706,-0.001080888,-0.001691826,0.0006141067,-0.0003245864,-0.002000127,0.0005527139,0.9994494,0.1383122,-0.02995826,0.4449318,-9.916361,5.082032,-0.6926117,11.14277,5.26416,0.005038725,0.2842223,0.0166626,0.03072559,56050674,37469809,218.74,0.2610656,0.2610657,0.3045461,-0.02529103,0.02741251,0.01368346,0.03729721,0.03972806,20.14688,132.6949,60.01003,0.1161553,0.1161581,0.1158737,0.1189095,-0.1010941,0.01368346,0.1560753,0.1566739,-2.345606,-63.06923,22.78346,0.8104875,2.576558,2.693206,0.6414034,0.6426186,10122021,80340049,0x00000000,56050764,37469728,0,0,0,0,0,1000,0x00000000,1,332.9142,22.78346,-0.6926117,-0.6926117,20,0.5640261,-2.782719,0.01368346,0,2.576558,0.1829305,0.8104875,23.3437,22.78346,0,5.010434,5.654395,-63.06923,-0.2541307,0,0,0,0.3500992,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0,0.4573226,-5.487805,-92.75731,0,100,100,100,-100,-100,100,100,100,100,100,100,0x00000000,12.05182,0,0x00000000,19.99207,99,0,0x00000000,0
395.246,6,-0.01344987,-0.03160863,0.03577084,0.0003564162,-0.0004137345,9.36389E-05,0.0004881304,-0.0002465993,7.003546E-05,0.9999302,0.1383122,-0.02995826,0.4449318,-9.916614,5.082306,-0.6924744,11.14312,5.26416,0.005038725,0.2842223,0.0166626,0.03072559,56050674,37469809,218.7402,0.2613185,0.2613186,0.30496,-0.02524315,0.02738826,0.0136766,0.03724693,0.0396785,20.1626,132.6661,60.01733,0.1175551,0.1175579,0.1171562,0.1189574,-0.1011183,0.0136766,0.1561274,0.1567253,-2.341757,-63.06532,22.78384,0.8101646,2.576407,2.693374,0.6416838,0.6428984,10122021,80340059,0x00000000,56050764,37469728,0,0,0,0,0,1000,0x00000000,1,332.9136,22.78384,-0.6924744,-0.6924744,20,0.5642111,-2.897078,0.0136766,0,2.576407,0.1829305,0.8101646,23.39248,22.78384,0,5.006273,5.658244,-63.06532,-0.2287171,0,0,0,0.4781065,0.02786678,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0,0.4573226,-4.87805,-96.56925,0,100,100,100,-100,-100,100,100,100,100,100,100,0x00000000,12.05182,0,0x00000000,19.99207,99,0,0x00000000,0
395.256,6,0.02357298,-0.05260098,0.03844257,0.0008755131,-5.879998E-05,-0.0009693503,0.0007967856,0.0003159456,-0.0009833574,1.000984,0.1383122,-0.02995826,0.4449318,-9.916865,5.082581,-0.6884308,11.14347,5.26416,0.002832026,0.2842223,0.1088104,0.03072559,56050674,37469809,218.7442,0.2615762,0.2615764,0.2998517,-0.02516498,0.02741923,0.01430549,0.0372168,0.03987151,21.02589,132.5453,59.45537,0.1189437,0.1189467,0.1181642,0.1190356,-0.1010874,0.01430549,0.156167,0.1568208,-2.569635,-63.02128,22.78424,0.8096309,2.576627,2.693539,0.641964,0.643178,10122021,80340069,0x00000000,56050764,37469728,0,0,0,0,0,1000,0x00000000,1,332.9129,22.78424,-0.6884308,-0.6884308,20,0.5645549,-2.996188,0.01430549,0,2.576627,0.1829305,0.8096309,23.43212,22.78424,0,5.233905,5.430367,-63.02128,-0.2033034,0,0,0,0.6044917,0.152442,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0,0.4573226,-3.963417,-99.87293,0,100,100,100,-100,-100,100,100,100,100,100,100,0x00000000,12.06987,0,0x00000000,19.99207,99,0,0x00000000,0
