Время (сек),[Вертолет] Состояние,[Угловая скорость в связанной СК] По оси X (град-с),[Угловая скорость в связанной СК] По оси Y (град-с),[Угловая скорость в связанной СК] По оси Z (град-с),[Полное ускорение в связанной СК] По оси X (G),[Полное ускорение в связанной СК] По оси Y (G),[Полное ускорение в связанной СК] По оси Z (G),[Полное ускорение в нормальной СК] Северное (G),[Полное ускорение в нормальной СК] Восточное (G),[Полное ускорение в нормальной СК] Вертикальное (G),[Полное ускорение в нормальной СК] Перегрузка (G),[Напряженность МПЗ в связанной СК] По оси X (Гаусс),[Напряженность МПЗ в связанной СК] По оси Y (Гаусс),[Напряженность МПЗ в связанной СК] По оси Z (Гаусс),[Координаты в стартовой СК] Удаление на Север (м),[Координаты в стартовой СК] Удаление на Восток (м),[Координаты в стартовой СК] Высота (м),[Координаты в стартовой СК] Удаление по горизонтали (м),[Координаты в стартовой СК] Уход по горизонтали (м),[Координаты в стартовой СК] Уход по вертикали (м),[Координаты в стартовой СК] Ошибка по горизонтали (м),[Координаты в стартовой СК] Ошибка по вертикали (м),[Координаты в стартовой СК] СКО курса (град),[Координаты в географической СК] Широта (микро град),[Координаты в географической СК] Долгота (микро град),[Координаты в географической СК] Высота (м),[Координаты в географической СК] СКО широты (м),[Координаты в географической СК] СКО долготы (м),[Координаты в географической СК] СКО высоты (м),[Скорость относительно Земли] Северная (м-с),[Скорость относительно Земли] Восточная (м-с),[Скорость относительно Земли] Вертикальная (м-с),[Скорость относительно Земли] Горизонтальная (м-с),[Скорость относительно Земли] Полная (м-с),[Скорость относительно Земли] Траекторный угол (град),[Скорость относительно Земли] Путевой угол (град),[Скорость относительно Земли] Угол сноса (град),[Скорость относительно Земли] СКО северной (м-c),[Скорость относительно Земли] СКО восточной (м-c),[Скорость относительно Земли] СКО вертикальной (м-c),[Скорость относительно воздуха] Северная (м-с),[Скорость относительно воздуха] Восточная (м-с),[Скорость относительно воздуха] Вертикальная (м-с),[Скорость относительно воздуха] Горизонтальная (м-с),[Скорость относительно воздуха] Полная (м-с),[Скорость относительно воздуха] Угол атаки (град),[Скорость относительно воздуха] Угол скольжения (град),[Ориентация] Курс (град),[Ориентация] Тангаж (град),[Ориентация] Крен (град),[Ориентация] СКО курса (град),[Ориентация] СКО тангажа (град),[Ориентация] СКО крена (град),[Время] Дата (ddmmyyyy),[Время] Время (hhmmsssss),[Точка цели] Флаги,[Точка цели] Широта (микроград),[Точка цели] Долгота (микроград),[Точка цели] Высота (м),[Точка цели] Скорость (км-ч),[Точка цели] Путевой угол (град),[Точка цели] Азимут (град),[Точка цели] Возвышение (град),[Точка цели] Дальность (м),[Автопилот] Код ошибки,[Автопилот] Режим работы (0-A 1-AM 2-M),[Автопилот] Заданный путевой угол (град),[Автопилот] Текущий путевой угол (град),[Автопилот] Заданная высота (м),[Автопилот] Текущая высота (м),[Автопилот] Заданная скорость (км-ч),[Автопилот] Текущая скорость (км-ч),[Автопилот] Заданная вертикальная скорость (м-с),[Автопилот] Текущая  вертикальная скорость (м-с),[Автопилот] Заданный крен (град),[Автопилот] Текущий крен (град),[Автопилот] Заданный тангаж (град),[Автопилот] Текущий тангаж (град),[Автопилот] Заданный курс (град),[Автопилот] Текущий курс (град),[Автопилот] Заданный траекторный угол (град),[Автопилот] Текущий траекторный угол (град),[Автопилот] Текущий угол атаки (град),[Автопилот] Текущий угол скольжения (град),[Автопилот] Заданная тяга (%),[Автопилот] Триммер автомата тяги (%),[Автопилот] Триммер руля высоты (град),[Сервопривод направления] Код ошибки,[Сервопривод возвышения] Код ошибки,[Силовая установка] Тяга переднего левого двигателя (%),[Силовая установка] Тяга переднего правого двигателя (%),[Силовая установка] Тяга заднего левого двигателя (%),[Силовая установка] Тяга заднего правого двигателя (%),[Передний левый двигатель] Код ошибки,[Передний правый двигатель] Код ошибки,[Задний левый двигатель] Код ошибки,[Задний правый двигатель] Код ошибки,[Футаба] Канал флагов,[Футаба] Код ошибки,[Канал крена] Относительное положение,[Канал тангажа] Относительное положение,[Канал направления] Относительное положение,[Канал тяги] Относительное положение,[Канал автопилота] Относительное положение,[Канал двигателей] Относительное положение,[Канал парашюта] Относительное положение,[Канал связи] Относительное положение,[Канал полезной нагрузки] Относительное положение,[Канал режима] Относительное положение,[Канал 11] Относительное положение,[Канал 12] Относительное положение,[Канал 13] Относительное положение,[Канал 14] Относительное положение,[Канал 15] Относительное положение,[Канал 16] Относительное положение,[Батарея] Код ошибки,[Батарея] Напряжение (В),[Батарея] Ток (A),[Топливный бак] Код ошибки,[Топливный бак] Остаток (л),[Топливный бак] Уровень (%),[Топливный бак] Расход (л-мин),[Высотомер] Код ошибки,[Высотомер] Расстояние (м)
198.056,1,-0.03328662,0.0808996,-0.01502398,-0.02392092,-0.01773715,-0.0006688833,-0.02688386,-0.0127951,-0.0006035566,1.001046,0.09721299,0.0573293,0.3699492,-1399.238,-235.0846,0.2376251,1418.848,6246.37,7.733424,0,-0.08966064,0,55883706,37545348,197.6757,1552.381,1552.493,0.4638111,-26.337,-6.506397,-0.03211322,27.12878,27.1288,-0.06782284,193.8768,-24.94577,12.7636,12.76647,0.282844,-26.337,-6.506397,-0.03211322,27.12878,27.1288,-0.4914397,-24.94577,348.9581,1.392111,1.667914,2.68739,1.70398,1.800176,6011980,318054,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.9581,0,0.2376251,5,97.66369,0,-0.03211322,0,1.667914,0,1.392111,0,348.9581,0,-0.06782284,7.508561,-24.94577,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.23125,2.074201,0x00000000,19.8028,99,0,0x00000000,0
198.066,1,-0.009622457,0.05036515,-0.04288686,-0.02342065,-0.01772617,-0.00235343,-0.02642459,-0.0128255,-0.00229919,1.002729,0.09721299,0.0573293,0.3699492,-1399.501,-235.1497,0.2373047,1419.119,6246.37,7.733424,0,-0.08966064,0,55883703,37545347,197.6754,1552.473,1552.584,0.4658668,-26.33959,-6.507688,-0.03189287,27.13161,27.13162,-0.06735046,193.8781,-24.94748,12.76419,12.76706,0.2835245,-26.33959,-6.507688,-0.03189287,27.13161,27.13162,-0.4910181,-24.94748,348.9577,1.391539,1.668657,2.687552,1.703429,1.79949,6011980,318064,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.9577,0,0.2373047,5,97.67384,0,-0.03189287,0,1.668657,0,1.391539,0,348.9577,0,-0.06735046,7.508983,-24.94748,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.23125,2.074201,0x00000000,19.8028,99,0,0x00000000,0
198.076,1,0.009085299,0.0198238,0.02886928,-0.02326169,-0.01566446,-0.002402544,-0.02587652,-0.0108331,-0.002291918,1.002684,0.09721299,0.0573293,0.3699492,-1399.764,-235.2148,0.2369843,1419.389,6246.37,7.733424,0,-0.08966064,0,55883701,37545346,197.6751,1552.564,1552.676,0.4679319,-26.34212,-6.508783,-0.03167324,27.13433,27.13434,-0.06687995,193.8791,-24.94813,12.76478,12.76765,0.2842043,-26.34212,-6.508783,-0.03167324,27.13433,27.13434,-0.4916013,-24.94813,348.958,1.391724,1.668732,2.687715,1.70362,1.799678,6011980,318074,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.958,0,0.2369843,5,97.68364,0,-0.03167324,0,1.668732,0,1.391724,0,348.958,0,-0.06687995,7.5084,-24.94813,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.23125,2.074201,0x00000000,19.8028,99,0,0x00000000,0
198.086,1,0.03809294,0.01677046,0.04680818,-0.02381968,-0.01305634,0.0004107952,-0.02587228,-0.008264001,0.0006088614,0.9997601,0.09721299,0.0573293,0.3699492,-1400.028,-235.2799,0.2366638,1419.66,6246.37,7.733424,0,-0.08966064,0,55883699,37545345,197.6748,1552.656,1552.768,0.4700063,-26.34465,-6.509626,-0.03173832,27.13699,27.137,-0.06701081,193.8795,-24.94808,12.76537,12.76824,0.2848832,-26.34465,-6.509626,-0.03173832,27.13699,27.137,-0.4914525,-24.94808,348.9585,1.391874,1.669101,2.687877,1.70381,1.799867,6011980,318084,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.9585,0,0.2366638,5,97.69321,0,-0.03173832,0,1.669101,0,1.391874,0,348.9585,0,-0.06701081,7.508548,-24.94808,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.23125,2.074201,0x00000000,19.8028,99,0,0x00000000,0
198.096,1,0.01671877,0.005320111,-0.07265746,-0.02252717,-0.01384138,0.00163132,-0.02473292,-0.00931986,0.001774311,0.9985756,0.09721299,0.0573293,0.3699492,-1400.291,-235.345,0.2363434,1419.931,6246.37,7.733424,0,-0.08966064,0,55883696,37545344,197.6744,1552.748,1552.86,0.47209,-26.34707,-6.510573,-0.0319178,27.13956,27.13958,-0.06738336,193.8802,-24.94947,12.76596,12.76883,0.2855614,-26.34707,-6.510573,-0.0319178,27.13956,27.13958,-0.4910386,-24.94947,348.9579,1.391944,1.669228,2.68804,1.704002,1.800055,6011980,318094,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.9579,0,0.2363434,5,97.70248,0,-0.0319178,0,1.669228,0,1.391944,0,348.9579,0,-0.06738336,7.508963,-24.94947,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.23125,2.074201,0x00000000,19.8028,99,0,0x00000000,0
198.106,1,0.04038304,-0.01223732,-0.05586352,-0.02460524,-0.01458281,-7.152557E-05,-0.02694751,-0.009594142,0.0001007915,1.000308,0.107213,0.06299596,0.3779492,-1400.555,-235.4101,0.2360229,1420.201,6246.37,7.733424,0,-0.08966064,0,55883694,37545343,197.6741,1552.84,1552.951,0.474183,-26.34971,-6.511547,-0.03193302,27.14236,27.14238,-0.06740853,193.8809,-24.95061,12.76655,12.76943,0.2862387,-26.34971,-6.511547,-0.03193302,27.14236,27.14238,-0.4891962,-24.95061,348.9573,1.390552,1.670444,2.688201,1.703451,1.799368,6011980,318104,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.9573,0,0.2360229,5,97.71255,0,-0.03193302,0,1.670444,0,1.390552,0,348.9573,0,-0.06740853,7.510805,-24.95061,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.23125,2.074201,0x00000000,19.8028,99,0,0x00000000,0
198.116,1,0.03695328,0.03889943,-0.0180769,-0.02643509,-0.01739671,-0.002415419,-0.02932211,-0.0119265,-0.002279043,1.002779,0.107213,0.06299596,0.3779492,-1400.818,-235.4752,0.2357025,1420.472,6246.37,7.733424,0,-0.08966064,0,55883691,37545342,197.6738,1552.932,1553.043,0.4762852,-26.35258,-6.512749,-0.03171465,27.14543,27.14545,-0.06693999,193.8819,-24.95179,12.76715,12.77002,0.2869153,-26.35258,-6.512749,-0.03171465,27.14543,27.14545,-0.489831,-24.95179,348.9572,1.390941,1.670786,2.688365,1.703642,1.799557,6011980,318114,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.9572,0,0.2357025,5,97.72361,0,-0.03171465,0,1.670786,0,1.390941,0,348.9572,0,-0.06693999,7.51017,-24.95179,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.23125,2.074201,0x00000000,19.8028,99,0,0x00000000,0
198.126,1,0.02206772,0.01943382,0.004442143,-0.02578529,-0.01461713,-0.003489912,-0.02817151,-0.009287015,-0.003287554,1.003726,0.107213,0.06299596,0.3779492,-1401.082,-235.5404,0.2353821,1420.743,6246.37,7.733424,0,-0.08966064,0,55883689,37545341,197.6735,1553.023,1553.135,0.4783966,-26.35534,-6.513692,-0.0313973,27.14833,27.14835,-0.06626308,193.8824,-24.95227,12.76774,12.77061,0.2875911,-26.35534,-6.513692,-0.0313973,27.14833,27.14835,-0.4905775,-24.95227,348.9573,1.39113,1.670985,2.688527,1.703833,1.799745,6011980,318124,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.9573,0,0.2353821,5,97.73406,0,-0.0313973,0,1.670985,0,1.39113,0,348.9573,0,-0.06626308,7.509424,-24.95227,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.23125,2.074201,0x00000000,19.8028,99,0,0x00000000,0
198.136,1,-0.003504809,-0.008428804,0.01398415,-0.02591446,-0.01470528,-0.002061605,-0.02829111,-0.009393681,-0.001859784,1.002303,0.107213,0.06299596,0.3779492,-1401.345,-235.6055,0.2389069,1421.013,6246.37,7.733424,0,0.04556274,0,55883687,37545340,197.677,1553.115,1553.227,0.4597549,-26.35811,-6.514646,-0.0295158,27.15125,27.15127,-0.06228554,193.883,-24.95277,12.76833,12.7712,0.2815608,-26.35811,-6.514646,-0.0295158,27.15125,27.15127,-0.4944776,-24.95277,348.9575,1.391037,1.670931,2.68869,1.704024,1.799934,6011980,318134,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.9575,0,0.2389069,5,97.74456,0,-0.0295158,0,1.670931,0,1.391037,0,348.9575,0,-0.06228554,7.505524,-24.95277,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.22223,2.0596,0x00000000,19.8028,99,0,0x00000000,0
198.146,1,-0.004649849,0.0179071,0.002152065,-0.02400779,-0.01547732,0.001968324,-0.02649284,-0.01065053,0.00209868,0.9983099,0.107213,0.06299596,0.3779492,-1401.609,-235.6707,0.2386169,1421.284,6246.37,7.682923,0,0.04556274,0,55883684,37545339,197.6767,1553.207,1553.318,0.4617929,-26.3607,-6.515723,-0.02972712,27.15403,27.15404,-0.06272506,193.8839,-24.95359,12.76892,12.77179,0.2822428,-26.3607,-6.515723,-0.02972712,27.15403,27.15404,-0.4941944,-24.95359,348.9575,1.391211,1.670861,2.688853,1.704215,1.800122,6011980,318144,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.9575,0,0.2386169,5,97.75455,0,-0.02972712,0,1.670861,0,1.391211,0,348.9575,0,-0.06272506,7.505807,-24.95359,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.22223,2.0596,0x00000000,19.8028,99,0,0x00000000,0
